Valid Date time,Valid String,Valid number,Valid Boolean,Valid Category
2022-10-29,mother,103,false,B
2023-03-11,red,436,true,A
2020-05-20,within,861,false,C
2020-08-20,teacher,271,false,B
2023-03-02,particular,107,true,D
2020-02-22,late,72,false,D
2021-08-04,spend,701,true,C
2020-03-16,important,21,true,B
2023-07-01,recent,615,true,A
2023-05-30,yes,122,false,C
2023-12-23,add,467,false,B
2022-04-18,toward,215,true,C
2020-09-25,deal,331,false,A
2021-04-12,get,459,true,D
2021-10-10,land,88,false,C
2021-06-10,impact,373,false,A
2021-06-19,heavy,100,false,B
2022-11-03,reduce,872,true,A
2020-06-05,start,664,false,A
2020-06-22,southern,131,false,C
2023-04-06,personal,662,false,B
2020-04-29,him,309,false,A
2023-05-20,film,770,false,D
2021-07-05,decision,344,false,A
2022-10-06,occur,492,true,A
2022-12-05,station,414,true,B
2021-12-31,sound,806,true,D
2023-06-11,white,386,false,D
2020-03-15,very,192,true,B
2021-12-21,production,956,true,B
2020-03-30,their,277,false,D
2020-09-02,drug,161,true,B
2020-04-12,show,460,true,C
2023-02-17,they,314,false,C
2022-09-02,on,22,false,B
2022-01-06,morning,253,true,C
2022-07-04,put,748,true,A
2020-05-27,now,857,true,D
2021-11-30,message,561,false,B
2023-08-20,seek,475,false,A
2021-11-17,center,59,false,D
2022-11-23,general,511,true,D
2022-05-20,door,682,false,A
2021-01-21,PM,476,false,D
2022-01-03,program,700,true,D
2023-03-26,current,976,true,C
2020-12-27,nothing,783,false,D
2020-06-15,head,190,true,A
2021-10-24,attention,958,true,B
2021-08-23,subject,687,false,C
2023-02-23,long,958,false,C
2021-01-12,he,563,true,D
2021-10-09,treat,876,true,D
2020-03-09,number,567,true,C
2022-12-22,commercial,244,false,B
2021-01-14,six,832,false,A
2020-09-21,idea,505,false,C
2020-02-15,understand,131,false,C
2020-03-01,coach,485,true,C
2021-07-14,pretty,819,false,A
2020-07-12,foot,647,true,C
2022-05-10,move,21,false,B
2021-05-05,our,841,false,A
2021-12-27,generation,167,false,A
2022-02-20,toward,274,true,B
2021-05-02,degree,388,false,C
2023-07-22,worry,601,false,A
2020-09-26,box,316,true,B
2021-05-25,receive,14,false,B
2021-12-30,box,242,false,B
2022-11-26,peace,777,true,D
2021-11-29,sell,346,true,C
2022-09-24,wife,565,false,B
2020-06-04,position,898,true,A
2023-09-30,collection,340,false,B
2020-08-13,federal,92,true,C
2023-02-02,seat,367,false,C
2021-10-21,worker,956,false,B
2023-05-13,wife,455,false,B
2021-12-01,notice,428,false,D
2021-01-03,consider,509,false,B
2022-12-08,thing,776,true,B
2020-09-02,quality,943,false,C
2022-09-06,experience,35,true,A
2020-05-17,worry,206,false,B
2020-08-11,kitchen,81,false,C
2023-10-30,base,932,true,A
2021-08-14,imagine,562,false,D
2022-12-16,put,872,true,A
2022-12-24,great,388,true,B
2021-01-01,law,2,true,D
2021-08-04,leg,390,true,B
2023-08-24,note,566,true,B
2020-04-21,stage,106,false,D
2021-11-10,leave,772,true,B
2023-04-26,truth,822,false,B
2021-10-11,share,477,false,C
2021-12-25,move,703,false,B
2023-05-19,three,402,false,C
2020-11-07,fear,730,false,A
2021-02-26,trouble,556,true,B
2021-08-27,evening,162,false,B
2022-09-25,tax,202,true,A
2021-05-17,fear,958,false,A
2020-01-06,from,996,true,B
2022-02-17,raise,270,false,A
2023-07-22,across,863,true,A
2023-04-01,six,816,true,D
2021-07-28,land,271,true,B
2020-09-13,lead,456,false,A
2022-10-29,reduce,462,true,A
2022-02-09,quite,727,false,C
2020-07-05,whom,252,false,D
2021-03-11,contain,702,true,A
2022-08-16,adult,296,false,B
2020-05-27,picture,725,false,A
2021-04-21,occur,720,true,D
2023-04-25,production,749,true,C
2020-04-24,cover,338,true,A
2023-04-26,man,879,false,C
2021-02-07,partner,53,true,B
2020-07-21,hotel,792,false,C
2021-12-10,budget,922,false,D
2021-03-08,cut,217,true,A
2020-02-18,where,764,true,B
2021-05-13,director,188,false,D
2020-09-03,home,380,false,B
2023-09-06,drop,493,true,C
2022-12-11,others,41,false,D
2020-07-17,open,157,false,D
2021-03-25,kitchen,15,false,A
2020-03-02,body,813,false,A
2021-03-12,boy,65,false,A
2021-11-03,prevent,857,false,D
2020-11-30,structure,839,false,A
2022-02-15,put,521,true,B
2021-07-22,stage,344,true,A
2021-08-05,film,129,false,C
2021-04-06,hear,648,false,C
2022-10-29,exist,472,false,B
2022-07-01,point,63,false,D
2022-04-09,expert,139,true,C
2021-09-02,help,499,true,C
2020-12-23,space,593,true,B
2023-07-28,question,392,true,D
2023-07-06,nice,675,true,D
2023-04-22,kind,419,true,A
2023-01-10,environment,289,true,A
2023-12-07,many,379,true,D
2023-07-23,control,773,true,B
2021-10-25,head,490,true,B
2021-02-27,performance,231,false,C
2020-09-17,sport,41,true,D
2021-06-23,ask,28,false,A
2022-12-12,almost,135,false,C
2021-11-01,word,201,true,D
2023-09-17,notice,840,false,D
2020-09-14,himself,780,true,C
2020-09-08,down,930,true,D
2022-05-27,production,33,true,A
2021-11-19,force,48,true,C
2020-06-27,someone,503,false,B
2023-06-17,treatment,407,true,C
2023-12-12,central,574,true,B
2022-02-08,bank,728,true,B
2021-05-03,sell,805,false,C
2021-04-27,sport,99,false,D
2023-11-14,quickly,684,true,A
2022-07-14,detail,872,false,B
2020-05-30,something,726,true,C
2022-05-13,history,987,true,D
2022-09-27,view,547,false,C
2021-05-22,now,961,true,C
2023-04-27,bill,739,true,C
2023-02-16,sort,613,false,B
2021-12-22,feeling,943,true,D
2023-11-02,plant,462,true,C
2020-07-27,stock,643,true,B
2021-09-07,direction,769,true,C
2023-02-26,home,5,true,D
2021-08-26,energy,218,true,D
2023-10-24,price,503,true,D
2020-05-31,suddenly,767,false,D
2020-10-09,with,398,false,C
2020-08-01,main,871,true,B
2022-01-07,great,795,true,B
2022-06-22,these,393,true,D
2023-06-26,brother,207,true,C
2022-04-27,color,15,true,C
2022-12-27,probably,858,false,D
2021-08-06,between,554,false,B
2023-01-12,tough,892,false,A
2022-03-09,unit,461,false,C
2022-07-30,travel,691,true,A
2020-11-19,left,575,true,D
2020-08-24,member,864,true,A
2023-06-30,a,743,true,D
2021-08-16,today,241,true,B
2022-07-05,until,564,true,C
2020-09-22,if,96,true,A
2022-12-09,economic,900,false,C
2020-10-23,draw,734,false,B
2020-08-31,then,485,true,A
2020-07-26,media,407,false,D
2020-03-12,mission,231,false,D
2022-10-11,foot,749,false,B
2023-06-08,system,655,false,B
2023-05-31,man,171,true,A
2022-12-03,collection,541,false,B
2023-09-26,always,36,true,D
2021-02-27,kitchen,525,true,B
2020-11-08,onto,160,true,A
2020-11-17,dinner,839,false,C
2023-12-16,smile,699,false,C
2023-11-08,place,243,true,A
2020-02-24,last,86,true,D
2022-11-03,positive,796,false,A
2020-07-07,special,578,false,C
2022-12-10,next,682,false,D
2022-05-18,pay,557,true,C
2020-09-19,evening,574,true,D
