Some Date not valid,String,Some number not valid,Some boolean not valid
2021-06-13,fight,837,n/a
2021-12-06,without,321,false
2021-06-18,12345,256,true
9999-99-99,into,no value,false
0000-00-00,force,278,true
2000-11-33,our,no value,n/a
2020-07-28,hour,17,false
2021-12-17,hour,308,true
2021-08-15,234,658,false
2021-04-13,321,188,true
2020-10-12,all,860,false
2023-01-20,throw,963,false
2021-04-04,trip,879,false
2022-10-23,skill,415,true
2022-08-23,clear,856,true
2021-06-28,officer,321,true
2022-11-14,perform,804,true
2020-02-27,her,896,true
2023-01-05,head,435,true
2020-02-11,drive,380,true
2023-09-01,close,460,true
2020-01-06,off,90,false
2022-02-26,others,450,true
2020-02-26,meet,368,false
2022-12-09,attention,547,true
2022-01-12,trouble,844,true
2021-06-04,begin,707,true
2023-08-29,nor,228,false
2022-08-11,hot,886,true
2021-01-08,century,133,true
2021-05-30,last,805,true
2022-04-19,enough,241,false
2021-07-29,film,886,true
2022-01-23,war,717,false
2022-09-13,sport,729,false
2023-03-01,oil,765,true
2022-11-20,north,688,false
2020-01-28,music,33,true
2021-03-07,final,715,false
2020-01-05,during,317,true
2020-12-01,carry,881,true
2022-11-30,federal,74,true
2023-05-04,also,931,true
2020-08-11,staff,305,false
2021-02-16,investment,949,false
2021-09-11,part,965,false
2020-10-08,station,377,false
2021-01-24,management,541,true
2022-05-01,gun,74,true
2022-03-04,same,136,true
2022-09-08,live,830,false
2023-01-14,ok,85,true
2023-04-30,too,304,false
2020-12-30,become,617,true
2021-07-30,worker,182,true
2022-07-02,air,929,false
2023-02-17,boy,260,true
2021-05-03,less,931,false
2023-05-11,professor,170,true
2021-03-17,smile,492,true
2020-10-08,however,922,false
2020-08-11,politics,414,false
2022-08-19,these,497,true
2023-11-04,could,119,false
2020-08-12,reach,763,false
2022-11-30,left,411,false
2021-04-22,edge,694,true
2022-06-27,design,726,true
2021-02-08,nice,534,true
2022-05-27,case,233,false
2021-08-27,carry,843,false
2022-05-21,whole,796,false
2023-06-23,toward,699,true
2023-10-04,stage,8,true
2021-08-18,home,992,false
2022-08-23,network,574,true
2023-09-20,choice,100,true
2020-11-14,system,631,true
2022-08-19,across,820,true
2023-04-28,particularly,931,true
2021-01-21,address,431,true
2020-03-04,actually,107,true
2021-12-27,take,53,false
2023-05-26,memory,147,true
2020-12-29,possible,792,true
2021-07-20,brother,388,false
2022-02-15,two,892,false
2021-01-07,short,583,false
2022-09-01,address,793,false
2021-11-01,particularly,308,false
2020-09-03,over,263,false
2022-02-05,not,382,false
2021-12-06,gun,685,true
2023-12-20,ever,344,true
2023-06-07,well,293,false
2022-10-17,attorney,854,true
2020-12-13,question,527,true
2020-07-03,accept,84,false
2021-11-12,evidence,86,false
2021-04-02,care,500,false
2020-04-12,shake,41,true
2021-07-02,fish,468,false
2021-07-27,rock,895,true
2022-03-26,improve,214,false
2023-01-26,national,796,false
2020-04-14,seat,811,false
2020-02-23,room,562,false
2021-08-31,arm,199,false
2021-07-08,mention,657,true
2023-06-28,test,273,true
2021-02-11,condition,109,true
2021-10-21,close,719,false
2022-02-21,hold,576,false
2022-08-14,fund,382,true
2023-07-17,this,488,true
2023-12-30,discussion,413,false
2020-03-14,pressure,444,true
2020-05-27,war,800,false
2023-01-25,throw,722,true
2023-08-18,but,500,true
2021-06-07,unit,930,false
2023-11-28,theory,6,false
2021-01-16,exist,782,false
2022-09-26,close,777,false
2023-07-30,respond,705,true
2020-02-11,lose,820,true
2023-10-18,there,951,false
2022-10-04,individual,586,false
2021-09-27,method,517,false
2023-04-29,difficult,687,false
2022-12-21,car,839,false
2020-01-18,sister,365,false
2021-06-08,guess,256,true
2020-03-22,each,172,true
2022-06-06,situation,88,true
2023-03-08,scene,794,true
2021-01-14,article,725,true
2023-04-12,test,342,false
2020-07-02,into,281,true
2023-10-19,several,485,true
2022-10-19,area,157,false
2021-01-04,lay,152,false
2023-02-26,spend,165,true
2022-07-21,building,604,true
2023-04-08,especially,275,true
2023-01-14,night,282,false
2023-03-06,nearly,983,false
2022-10-13,goal,792,true
2022-05-26,happy,425,true
2021-04-27,stuff,636,false
2020-04-05,suddenly,473,true
2021-04-28,right,738,false
2023-01-18,yet,201,true
2022-08-21,table,458,false
2023-02-21,quite,444,false
2023-07-09,toward,877,false
2020-11-06,responsibility,688,true
2023-10-23,major,198,true
2022-10-24,whole,413,true
2022-02-27,magazine,470,true
2022-02-26,article,619,false
2021-09-23,focus,409,false
2023-09-28,up,87,true
2022-08-29,practice,281,true
2021-01-13,prevent,52,false
2023-12-27,fund,965,true
2023-06-12,quality,555,false
2020-02-10,series,803,true
2021-04-19,bit,509,false
2023-08-04,amount,733,false
2020-07-30,medical,356,true
2021-06-13,class,82,true
